Model,n_terms,R^2,Q^2,adj_score,fin_score
"('f2chi', 'fbonhq2', 'foh6')",3,0.7595134800304564,0.6900376543712415,0.6581695333231761,0.7324042474318825
"('2chiv', 'd3chi', 'onh8')",3,0.77347686839881,0.6925106812521432,0.6578462854608369,0.7476387682144656
"('f2chi', 'fbonhq2', 'pb_vol_nh')",3,0.7608854960448725,0.6910668539285623,0.6577434178434465,0.7340823254316599
"('T', 'f2chi', 'fbonhq2')",3,0.7751842875697514,0.6834760601738135,0.6574977952862161,0.7498160545673898
"('d1chi', 'f2chi', 'fbonhq2')",3,0.7599087142313312,0.6891904815599472,0.6574347392559075,0.7333233839091652
"('2chi', 'kier_al', 'onhr')",3,0.7758569842352022,0.6765855185161173,0.6574138307802545,0.7514558612844184
"('f2chi', 'fbonhq2', 'onbo1/2')",3,0.7587162888996415,0.7119185167290523,0.6573984711668486,0.7304311244775741
"('2kal', 'f2chiv', 'o8')",3,0.7748160825881382,0.559824370868726,0.6571721293120953,0.7490119537992082
"('3k', 'f2chiv', 'o8')",3,0.7770129167424071,0.6895207078953577,0.6570840344663935,0.7517664106356394
"('f2chi', 'fbonhq2', 'fonhh3')",3,0.7587201679407692,0.6890822679023454,0.6570132850790213,0.7315224385950534
"('f2chi', 'fbonhq2', 'fonhh6')",3,0.7587201679407698,0.6890822679023453,0.657013285079021,0.7315224385950536
"('d4chi', 'f2chi', 'fbonhq2')",3,0.764943513872998,0.6886112464381923,0.6569883100643777,0.7385460654496333
"('f2chi', 'fbonhq2', 's5chi')",3,0.7667846735462688,0.6879761148905787,0.656985306821148,0.740522258241017
"('2chiv', 'crest_flex', 'fbonhq1')",3,0.7933853127222608,0.6962364269862855,0.6567463934932001,0.7710640161493852
"('2chiv', 'bonh8', 'd0chi')",3,0.7776623261516601,0.6901334301615614,0.6565836361537225,0.7528931768029243
"('2chiv', 'balaban', 'bonhr')",3,0.7835863976542543,0.671458675367576,0.6565281171829089,0.7619848731243741
"('2chi', 'd1chi', 'or')",3,0.7748644184394775,0.6748787115967699,0.6564954524845001,0.7505147301707769
"('balaban', 'f2chi', 'fbonhq2')",3,0.7608569258720574,0.6862486171762927,0.6564258467450663,0.7343271890819871
"('d1chi', 'or', 's2chi')",3,0.7744547212579912,0.6622089182325754,0.6563567349642254,0.7516256155322603
"('2chiv', 'bonh2', 'd0chi')",3,0.7775330812543377,0.6836801185745929,0.6562235349739673,0.7554978289711947
"('3kb', 'f2chiv', 'o8')",3,0.7762311898848869,0.6870256718328219,0.6561524915742525,0.7513058966142967
"('d0chi', 'f2chi', 'fbonhq2')",3,0.7588220325457458,0.6879907790803583,0.6560750171611066,0.7321458015300066
"('2ka', 'f2chi', 'fbonhq2')",3,0.7617733527662969,0.6876500605408788,0.6559668805165725,0.7351765314600698
"('3ka', 'f2chiv', 'o8')",3,0.7765014144704311,0.6886573104716853,0.6559386598410758,0.7511540909180254
"('0chiv', 'bonhr', 'd0chi')",3,0.7720818664576912,0.6645021848237624,0.6558967067569443,0.7504645276351186
"('bonhr', 'd0chi', 's0chi')",3,0.7726887288393911,0.6683200804217833,0.6557226699129841,0.7504034368858159
"('2k', 'f2chi', 'fbonhq2')",3,0.7617719082635135,0.6873483223634171,0.6557201872189785,0.7351673818588482
"('bonhr', 'd0chi', 'nb')",3,0.7677695566633638,0.6583909396177383,0.6556525503818778,0.7469749148443503
"('0chi', 'bonhr', 'd0chi')",3,0.7734992624382405,0.6733410480607414,0.6555909722271926,0.7503498255805738
"('f2chi', 'f4chi', 'fbonhq2')",3,0.7653818061333819,0.6881989598532996,0.6554924982597903,0.7389183260143887
"('2chiv', 'kier_al', 'oq1')",3,0.780173826729948,0.6872860088668473,0.6551033461418552,0.7553453592459194
"('f2chiv', 'fbonhh3', 'fbonhh4')",3,0.7507681457717434,0.6907999579632564,0.6549470842515066,0.7220481521994491
"('d2chi', 'f2chi', 'fbonhq2')",3,0.7599305838452459,0.6868962198177584,0.6549281883561364,0.7331970278001033
"('2chiv', 'd1chi', 'or')",3,0.7732629505020445,0.6594324870747899,0.6549163468123572,0.7511166679301703
"('3chiv', 'crest_flex', 'fbonhq2')",3,0.7884928030861071,0.6894372821030017,0.6549134954804929,0.76425553704137
"('bonhq2', 'd0chi', 'onhq4')",3,0.7593684051261793,0.6678594533166355,0.6548986815574602,0.7378847585218132
"('1chi', '2chiv', 'or')",3,0.77554847090915,0.6639059041937859,0.6545614078037103,0.7531088577425629
"('2chiv', 'bonhr', 'k_phi')",3,0.767324974610994,0.6692435193152375,0.6544768148946026,0.7430931264516025
"('d1chi', 'onhr', 's2chi')",3,0.7735967382179423,0.6618896125094118,0.6544380603525196,0.7505053232647865
"('f1k', 'f2chi', 'fbonhq2')",3,0.7660519241998783,0.685244521550038,0.6543392154770997,0.7396299584129005
"('2chiv', 'd3chi', 'oq1')",3,0.7828180640196299,0.687881341164178,0.6542536920864483,0.7580498184229033
"('2kal', 'f2chi', 'fbonhq2')",3,0.7620990349726047,0.6854757191052765,0.6542210565102218,0.735367674625729
"('2kb', 'f2chi', 'fbonhq2')",3,0.7609894376198507,0.6859470934451386,0.6541996686237456,0.7341726331620533
"('Tenbo2', 'f2chi', 'fbonhq2')",3,0.7589522744094014,0.6864966001185073,0.6541832679311878,0.7318546771591599
"('bonh8', 'kier_al', 's2chi')",3,0.774405983813681,0.687283115131452,0.654163058973458,0.7492182713377062
